Line of Code,Comment,Class
do rf;,,Not Useful
// sizeof Fjp = 10;",Useful
void RqNT0 = 53;,"// Calculation of Variable in the line of code:
// void RqNT0 = 53;",Useful
unsigned jWoLj3WY;,"// Explanation of Result in the line of code:
// unsigned jWoLj3WY;",Useful
typedef xaAphqFuDI;,,Not Useful
char J7rNU;,"// Calculation of Data in the line of code:
// char J7rNU;",Useful
do d = 77;,"// Calculation of Variable in the line of code:
// do d = 77;",Useful
double zfE = 16;,/* bpi */ // uje ouDRk KD1isf iwl,Not Useful
register J7QzmDpjGC = 62;,"// Function of Result in the line of code:
// register J7QzmDpjGC = 62;",Useful
auto gvWDCPpEr;,/* uaRgFWt */,Not Useful
double ESjjQUA;,,Not Useful
break gly;,"// Calculation of Result in the line of code:
// break gly;",Useful
unsigned pV = 21;,/* NsVJ */,Not Useful
auto _e1idvY;,/* zo2QDzn */ // BWX8Eep5J ZfruOLc _z0BdM ukIIbUBZNET,Not Useful
double jj;,,Not Useful
do dr;,/* z12vqLVggmK */ // nK vL XO7JC YtKV aQ,Not Useful
while PqLQt7bH2_7 = 68;,"// Initialization of Value in the line of code:
// while PqLQt7bH2_7 = 68;",Useful
break pIP3LXWMYW = 44;,"// Definition of Value in the line of code:
// break pIP3LXWMYW = 44;",Useful
void NQ = 48;,,Not Useful
break hddX;, // P5u MEuOEa _f8Fo9N f_IV3h,Not Useful
signed U1AVxwrk;,"// Declaration of Result in the line of code:
// signed U1AVxwrk;",Useful
case L;,/* u */,Not Useful
return hyG;,"// Initialization of Result in the line of code:
// return hyG;",Useful
enum vS8Wvefdy;,"// Function of Data in the line of code:
// enum vS8Wvefdy;",Useful
char k;,/* IgHINfTT4e */,Not Useful
float k;,"// Initialization of Variable in the line of code:
// float k;",Useful
enum Zfs5gV = 6;,,Not Useful
long bW30_5HOuH;,"// Calculation of Variable in the line of code:
// long bW30_5HOuH;",Useful
return kxGQiZhXFE8;,,Not Useful
long mJ8U8bl;,"// Initialization of Value in the line of code:
// long mJ8U8bl;",Useful
while Q = 39;,"// Function of Variable in the line of code:
// while Q = 39;",Useful
float E_Ifx1Wt = 95;,"// Usage of Variable in the line of code:
// float E_Ifx1Wt = 95;",Useful
void RSswZhe_9Wd = 61;, // Mow SepCZ__1mn1 UJXKnw8oqN,Not Useful
int XhXoUWOLVq = 77;,"// Explanation of Result in the line of code:
// int XhXoUWOLVq = 77;",Useful
goto NmWo;, // Eut gmYj5DhB3,Not Useful
static zhKPl = 35;,"// Function of Value in the line of code:
// static zhKPl = 35;",Useful
if oL0P1sLO = 33;, // mW_es zWy6O6MHMH rQJ4hEp2z i,Not Useful
register mj6KckZIfD = 32;,"// Function of Variable in the line of code:
// register mj6KckZIfD = 32;",Useful
double eFHaj3B = 22;,"// Function of Data in the line of code:
// double eFHaj3B = 22;",Useful
double wLzp0junc_j;,/* DYfB9_ */,Not Useful
char m0y8K4ri = 41;,"// Initialization of Variable in the line of code:
// char m0y8K4ri = 41;",Useful
double LbYcTjYoS;,/* RMKxd7Q_uh */,Not Useful
do NciiXT1Wp = 64;,,Not Useful
void bu;, // J pVBHKTavl wpy,Not Useful
while e = 8;,"// Function of Parameter in the line of code:
// while e = 8;",Useful
do xwAWc_SmJij;,,Not Useful
continue aMV5Srlexw2 = 26;,"// Function of Data in the line of code:
// continue aMV5Srlexw2 = 26;",Useful
float i7TAZ4Wvu4G = 93;,"// Explanation of Result in the line of code:
// float i7TAZ4Wvu4G = 93;",Useful
switch g88drlyG;,"// Initialization of Value in the line of code:
// switch g88drlyG;",Useful
unsigned d = 11;,"// Usage of Data in the line of code:
// unsigned d = 11;",Useful
auto poZeundX = 16;,/* J3w */ // u7 BiZpk9q c7 ljxLbzH_3 jw0VUQ,Not Useful
continue dt9je = 15;,"// Function of Variable in the line of code:
// continue dt9je = 15;",Useful
switch qb3w;,,Not Useful
short EMpU7Hv;,"// Calculation of Parameter in the line of code:
// short EMpU7Hv;",Useful
void Fs9YJIa7H = 7;,"// Initialization of Data in the line of code:
// void Fs9YJIa7H = 7;",Useful
char Lratqr0VR8v = 30;,/* O5q */,Not Useful
continue bbDFL = 64;,"// Calculation of Data in the line of code:
// continue bbDFL = 64;",Useful
volatile OjLhgO = 98;,"// Calculation of Variable in the line of code:
// volatile OjLhgO = 98;",Useful
auto Fr;,/* kwqlLnS5vqU */ // IA6 VfuZ xml7FtJi6_j,Not Useful
while ObsDmcP;, // qzIxhn fLAQ4VO2ndc WO01XNF,Not Useful
typedef p8zrB;,"// Usage of Result in the line of code:
// typedef p8zrB;",Useful
double SL54N = 33;,"// Function of Data in the line of code:
// double SL54N = 33;",Useful
int y;,"// Declaration of Result in the line of code:
// int y;",Useful
double ptM_;,"// Initialization of Value in the line of code:
// double ptM_;",Useful
register i6QPnwvC;,"// Function of Data in the line of code:
// register i6QPnwvC;",Useful
default PEavRI = 98;,,Not Useful
char ZCcxyNJq;,"// Calculation of Value in the line of code:
// char ZCcxyNJq;",Useful
continue Fap4oMxK = 14;,"// Function of Parameter in the line of code:
// continue Fap4oMxK = 14;",Useful
float n5hP;,"// Explanation of Data in the line of code:
// float n5hP;",Useful
static N6;,,Not Useful
unsigned aiiN;,/* EGD0Z */ // bcUZEBG Ae0oww1BYxN U_XL W,Not Useful
short bdkqR = 8;,"// Explanation of Data in the line of code:
// short bdkqR = 8;",Useful
default OKtlRnCdkC;,"// Initialization of Result in the line of code:
// default OKtlRnCdkC;",Useful
int rUXQP;,"// Function of Value in the line of code:
// int rUXQP;",Useful
for dteuhZ;,"// Declaration of Variable in the line of code:
// for dteuhZ;",Useful
break CAyC38 = 68;,"// Initialization of Parameter in the line of code:
// break CAyC38 = 68;",Useful
switch RwPd = 4;,/* yoRluD */ // Xp72 M0VCcC9sM E92sNFlQy,Not Useful
union X;,/* ExMA_ */ // odtZp0WVf Qp4CWtfKAjx arS,Not Useful
static ClHheLA92 = 66;,,Not Useful
extern _ = 96;,/* u */ // ahIFiG3,Not Useful
continue HYXqI1u16;,"// Function of Parameter in the line of code:
// continue HYXqI1u16;",Useful
union p5HlTQA69Tv;,"// Declaration of Data in the line of code:
// union p5HlTQA69Tv;",Useful
typedef x;,/* u_CIys09w */,Not Useful
else SoRDQ = 59;,/* w9S */ // VHOaEkiFfzu,Not Useful
union P52YT;,"// Declaration of Result in the line of code:
// union P52YT;",Useful
int co4QfeiEF;,"// Usage of Result in the line of code:
// int co4QfeiEF;",Useful
default H6u2;,"// Usage of Variable in the line of code:
// default H6u2;",Useful
char kpSWcjc;, // k4_Fht pH2BiBM,Not Useful
void E;, // PYErXU k87ksdXUNC,Not Useful
switch xb6EkY;,"// Definition of Result in the line of code:
// switch xb6EkY;",Useful
while GWvgFSfrA = 75;,"// Calculation of Data in the line of code:
// while GWvgFSfrA = 75;",Useful
long YSDhbnnC1m6;,"// Function of Variable in the line of code:
// long YSDhbnnC1m6;",Useful
for lk1zvAG;,"// Explanation of Result in the line of code:
// for lk1zvAG;",Useful
break M = 18;, // NKUNtkDPV26,Not Useful
unsigned h7 = 56;,/* P */,Not Useful
switch R1DtY3pht;,"// Declaration of Data in the line of code:
// switch R1DtY3pht;",Useful
enum xPhTK6N4n = 12;, // AHQJO M1FI7cvmN8q zQR,Not Useful
for b8qFA0bEu = 30;,"// Initialization of Result in the line of code:
// for b8qFA0bEu = 30;",Useful
default R6pIc;,"// Definition of Value in the line of code:
// default R6pIc;",Useful
const xnV;,"// Declaration of Parameter in the line of code:
// const xnV;",Useful
double Y93;,/* NZ */ // nH9rTspxIn RAVR295y_G,Not Useful
typedef TBe4HkJO4 = 100;,"// Declaration of Result in the line of code:
// typedef TBe4HkJO4 = 100;",Useful
break lzzB = 42;,"// Declaration of Value in the line of code:
// break lzzB = 42;",Useful
double y7 = 84;,"// Declaration of Value in the line of code:
// double y7 = 84;",Useful
else rZOHy = 32;,"// Definition of Data in the line of code:
// else rZOHy = 32;",Useful
auto yVWS;,"// Definition of Variable in the line of code:
// auto yVWS;",Useful
sizeof STKoWSLH_ = 25;,"// Usage of Data in the line of code:
// sizeof STKoWSLH_ = 25;",Useful
union Gd8 = 3;,"// Declaration of Parameter in the line of code:
// union Gd8 = 3;",Useful
enum T;,"// Explanation of Value in the line of code:
// enum T;",Useful
const eKCg = 100;,/* yLxZqI */,Not Useful
default cTC9b = 62;,/* Tfz */ // IEChYS ZqYt8gXx jGzhu DOIMmg,Not Useful
float KicWj41k = 80;,"// Declaration of Parameter in the line of code:
// float KicWj41k = 80;",Useful
signed ynZJej5Wt_ = 81;,/* k2 */ // PiSNA8CAk pII_vG8K0 Af5txA4XlS,Not Useful
break G;,/* R0jxAFy */ // nA5 I2wQeQ hwZQoS3iue,Not Useful
double B_T25y;,,Not Useful
switch UJ = 53;,/* QZgjc8kq */,Not Useful
enum O8bP3MtL;,"// Definition of Result in the line of code:
// enum O8bP3MtL;",Useful
typedef xmrqx1E9P;,"// Function of Data in the line of code:
// typedef xmrqx1E9P;",Useful
do COUAf_c2t = 25;,"// Initialization of Value in the line of code:
// do COUAf_c2t = 25;",Useful
default ky;,"// Usage of Parameter in the line of code:
// default ky;",Useful
typedef H3cX4aCb_C = 3;,"// Usage of Parameter in the line of code:
// typedef H3cX4aCb_C = 3;",Useful
do P8oTTdel = 66;,"// Explanation of Result in the line of code:
// do P8oTTdel = 66;",Useful
else sH;,/* JY */,Not Useful
extern Ajc73 = 30;,/* EU */,Not Useful
while gnsq3qVhF;,,Not Useful
while PQ;,"// Function of Result in the line of code:
// while PQ;",Useful
switch jDgPN7qAEb;,,Not Useful
sizeof CU4J = 58;,,Not Useful
int F8z6AITACZM = 37;,,Not Useful
void BjrfoVPJB;,"// Definition of Variable in the line of code:
// void BjrfoVPJB;",Useful
int jL5mWIk13J;,"// Calculation of Result in the line of code:
// int jL5mWIk13J;",Useful
void mi;, // LQTQX0_yRh jzEfgbwcj DWcj7OfZB WMLAVnuLEi GryEcBD1Ct9,Not Useful
case J = 4;,"// Function of Data in the line of code:
// case J = 4;",Useful
int SXcU = 42;,"// Initialization of Value in the line of code:
// int SXcU = 42;",Useful
void Wu = 24;, // _jumfnBc bJW0l91mC u8 Y1U4kRu2D5g DDvN2u8,Not Useful
double SQ;,"// Explanation of Data in the line of code:
// double SQ;",Useful
if wM19wFclXbE = 69;,"// Initialization of Value in the line of code:
// if wM19wFclXbE = 69;",Useful
union MPPBjd2aOa;,,Not Useful
double KE14L;,/* jy */,Not Useful
while iKgNOl;,/* Ee */ // u7BYkhNmG VkD3 l,Not Useful
enum LNz130o = 50;,"// Declaration of Result in the line of code:
// enum LNz130o = 50;",Useful
struct VNoXE0jG = 83;,/* br15 */,Not Useful
break ud = 18;,"// Function of Data in the line of code:
// break ud = 18;",Useful
static XJEipfhGy = 62;,/* aXt */,Not Useful
char _IJ;,,Not Useful
void NjtJkzldw = 27;,"// Definition of Data in the line of code:
// void NjtJkzldw = 27;",Useful
sizeof EbBJSxYm1g3 = 79;,"// Calculation of Data in the line of code:
// sizeof EbBJSxYm1g3 = 79;",Useful
union c7yRu4 = 47;, // Z6yA_7bJ,Not Useful
int lqKG = 80;,"// Function of Variable in the line of code:
// int lqKG = 80;",Useful
void KKPNs2vo8AV = 25;,"// Function of Parameter in the line of code:
// void KKPNs2vo8AV = 25;",Useful
double iIkp6EKym = 93;,"// Calculation of Parameter in the line of code:
// double iIkp6EKym = 93;",Useful
union tL1u;,,Not Useful
double KNBLq;,/* EQPHgzeu */,Not Useful
register BFKP6FFTF;,/* S_E1A7 */,Not Useful
default IbS = 66;,/* d3YsK */,Not Useful
continue s5c0RIx;,/* pwpXn */,Not Useful
if b_ = 1;,"// Function of Data in the line of code:
// if b_ = 1;",Useful
volatile Mc;,"// Definition of Value in the line of code:
// volatile Mc;",Useful
typedef I4G;,"// Definition of Variable in the line of code:
// typedef I4G;",Useful
int u;,,Not Useful
long ZzgE;,"// Declaration of Data in the line of code:
// long ZzgE;",Useful
char UTjKhSF = 5;,"// Usage of Data in the line of code:
// char UTjKhSF = 5;",Useful
static gFBNj1;,/* l4BFbo */,Not Useful
signed vb7DM;,"// Initialization of Value in the line of code:
// signed vb7DM;",Useful
switch FM1;,"// Declaration of Parameter in the line of code:
// switch FM1;",Useful
do tQ3c = 65;,/* Nzd */,Not Useful
struct fCb;,"// Explanation of Variable in the line of code:
// struct fCb;",Useful
char WtI;,"// Calculation of Variable in the line of code:
// char WtI;",Useful
union jBd4w;,"// Initialization of Value in the line of code:
// union jBd4w;",Useful
enum y3;,"// Explanation of Data in the line of code:
// enum y3;",Useful
default sy = 41;,"// Usage of Value in the line of code:
// default sy = 41;",Useful
double f_aZl;,/* J5 */ // jgr0gL MKdqxp44O8C _8,Not Useful
default aJgf6cL = 64;,/* RX */ // q0B j3cKR6 PmjhoMgo1Lh,Not Useful
float Nx2ljLt4;,"// Declaration of Result in the line of code:
// float Nx2ljLt4;",Useful
for Svfwe = 15;,"// Declaration of Variable in the line of code:
// for Svfwe = 15;",Useful
float EZXD = 23;,"// Explanation of Data in the line of code:
// float EZXD = 23;",Useful
auto r;, // ahAcwBLZ3Rh TVQ9S6 sFK3Sb,Not Useful
short duQaGL3sASU;,,Not Useful
volatile VtTy;,,Not Useful
sizeof Wld = 99;, // V6pNGP rgn7 sIo,Not Useful
for wlYaNLWiyb = 28;,/* TE */,Not Useful
if lQxcHAR;,"// Usage of Result in the line of code:
// if lQxcHAR;",Useful
void QmMNfp = 75;,/* BXl */,Not Useful
case HOxbfYNa4;,"// Function of Value in the line of code:
// case HOxbfYNa4;",Useful
register R = 29;,"// Explanation of Parameter in the line of code:
// register R = 29;",Useful
sizeof kg;, // j RN40 Z mr4B7X4Vk9h JuPAmWQGY,Not Useful
int RrIx_CmVFK;,/* HqQhw */,Not Useful
static e = 23;,"// Definition of Value in the line of code:
// static e = 23;",Useful
struct Cs9aqBPPO;,"// Definition of Variable in the line of code:
// struct Cs9aqBPPO;",Useful
for n6;,/* foXtxy */ // S,Not Useful
union gSMCT = 75;,,Not Useful
case flPszP;,"// Calculation of Data in the line of code:
// case flPszP;",Useful
auto L0AP = 75;,"// Usage of Variable in the line of code:
// auto L0AP = 75;",Useful
double ylrxU;,"// Explanation of Variable in the line of code:
// double ylrxU;",Useful
struct a3 = 13;,/* mtU */ // APi oiSpJ5mR,Not Useful
float a1JqkObPE;,"// Usage of Value in the line of code:
// float a1JqkObPE;",Useful
if JN = 41;,"// Usage of Parameter in the line of code:
// if JN = 41;",Useful
for oUseDWI1;,/* agbLDxoAX0 */,Not Useful
double D = 65;,"// Definition of Value in the line of code:
// double D = 65;",Useful
short PNWseNNUSH;, // W vdbfsuDXA U1qLz805RwI E wA,Not Useful
char N4XX_I = 97;,,Not Useful
signed s;,,Not Useful
volatile fFPZ5 = 30;,"// Initialization of Parameter in the line of code:
// volatile fFPZ5 = 30;",Useful
union Hv;,"// Usage of Parameter in the line of code:
// union Hv;",Useful
typedef uwRFl2_5Ji = 36;,,Not Useful
extern B5aN0FY7 = 76;,/* fLCqXJq */ // wuzQ3TXSfx,Not Useful
do hunzsTsgDX;,"// Function of Result in the line of code:
// do hunzsTsgDX;",Useful
const Fb5EKB = 95;,"// Initialization of Value in the line of code:
// const Fb5EKB = 95;",Useful
extern YDxH8Z = 84;,/* B */ // Nd7zsYFJgAb MFuZ,Not Useful
break QmUi;,"// Initialization of Result in the line of code:
// break QmUi;",Useful
static oGwfW = 53;,/* gPiBVKb */,Not Useful
goto FSSy2QWBB;,"// Explanation of Result in the line of code:
// goto FSSy2QWBB;",Useful
if Vbfw = 84;, // o_JQeF BLp2q4dS AfQMlI8J R,Not Useful
static igq2OIMiXV6;,"// Explanation of Result in the line of code:
// static igq2OIMiXV6;",Useful
auto vrEC;,/* fq1u */ // KPud1YV6 lQEIY6qiW,Not Useful
case ktW = 48;,/* Rtd8z */ // mkSJB y5oDFVa K1 Vfvn kzb8EkpxbNA,Not Useful
struct jWumdSyqePw;, // _r5 GKGiT0mLZ plk5gVNL6 dTFjp snL,Not Useful
char B3 = 80;,"// Calculation of Variable in the line of code:
// char B3 = 80;",Useful
break HNLhO8f;,"// Definition of Variable in the line of code:
// break HNLhO8f;",Useful
short xU64i33zZ = 28;,"// Declaration of Variable in the line of code:
// short xU64i33zZ = 28;",Useful
struct kT03q8 = 90;,/* pJ */ // N Zk1x5Ir sP4Xj9Y TP UZpNlp,Not Useful
unsigned XeNnFGtGn3x = 85;,"// Definition of Variable in the line of code:
// unsigned XeNnFGtGn3x = 85;",Useful
float v1jKt6uHJB7 = 12;,/* txm12 */ // k3C4wCrj5,Not Useful
continue G9;,"// Function of Value in the line of code:
// continue G9;",Useful
unsigned uoK22qAII = 4;,/* NrFG7 */,Not Useful
volatile tyk_eNcNhQJ;, // VkDBEF06 _4SApel6,Not Useful
switch i7Fc_UJ;,/* kkoBgFsv */ // cFkDBe zm_0 vaXC n2gG,Not Useful
signed r1uWOE = 33;,"// Usage of Value in the line of code:
// signed r1uWOE = 33;",Useful
case NzxAHxi;,"// Calculation of Parameter in the line of code:
// case NzxAHxi;",Useful
if LrXqydMR = 98;,"// Definition of Variable in the line of code:
// if LrXqydMR = 98;",Useful
while ECYEXWrACgf = 37;,/* M7dHOfvx */,Not Useful
char Al = 52;, // hftbeC_Ixhb KxxK9bhkp Bk_,Not Useful
break CgVIqB6azW;,,Not Useful
default IZ = 0;,"// Explanation of Data in the line of code:
// default IZ = 0;",Useful
void Fmfew4dw8;,/* ArBp2q */ // yCG PiuHWnP,Not Useful
double pSquxzejKI = 87;,,Not Useful
short ItlLqk2;,"// Function of Result in the line of code:
// short ItlLqk2;",Useful
switch yjI = 19;,"// Definition of Value in the line of code:
// switch yjI = 19;",Useful
double g15r = 26;,"// Calculation of Value in the line of code:
// double g15r = 26;",Useful
enum qhCQxd;,"// Usage of Data in the line of code:
// enum qhCQxd;",Useful
int LzYdTaM57;,/* GL57Ntc */ // npAWxsws6,Not Useful
sizeof n8Q7giyt1;, // rdjI VRq9FiU2b,Not Useful
enum ClwJN;,"// Definition of Variable in the line of code:
// enum ClwJN;",Useful
else kjkwWDwDP = 75;,,Not Useful
union Trsrj79GD = 94;,"// Function of Result in the line of code:
// union Trsrj79GD = 94;",Useful
long S1sMA5RY = 31;,,Not Useful
signed rc9H = 94;,"// Calculation of Variable in the line of code:
// signed rc9H = 94;",Useful
long A6M7VDzt;,,Not Useful
void GE8PxS8QUm;,,Not Useful
case BEFZ;,,Not Useful
extern nV;,"// Usage of Data in the line of code:
// extern nV;",Useful
sizeof J8X8sutNs;,/* Ta8zjRLgLDI */,Not Useful
continue lGyCTiu_22 = 94;,/* sS_PxEN4mzX */,Not Useful
short TLAe5dOHDen = 25;,,Not Useful
long w8RDAtenLF1;,,Not Useful
void NMD_n;,"// Usage of Parameter in the line of code:
// void NMD_n;",Useful
const ctaFX;,"// Calculation of Variable in the line of code:
// const ctaFX;",Useful
goto bqHR1l = 89;,,Not Useful
auto ifJN5F;,/* Hdcytga */,Not Useful
volatile gsTsd7z = 91;,"// Definition of Data in the line of code:
// volatile gsTsd7z = 91;",Useful
break gLYJwRu6lzM = 75;,,Not Useful
while W4;,"// Explanation of Value in the line of code:
// while W4;",Useful
short yd_qx;,"// Definition of Data in the line of code:
// short yd_qx;",Useful
goto _aMxGGy = 35;,"// Explanation of Variable in the line of code:
// goto _aMxGGy = 35;",Useful
if x85RZeAE5 = 38;, // oFG4L6 wHJRl WWH34,Not Useful
char x4K = 8;,"// Definition of Variable in the line of code:
// char x4K = 8;",Useful
goto Sx66AcptFF;,"// Declaration of Parameter in the line of code:
// goto Sx66AcptFF;",Useful
union NV7pbUsq;,"// Explanation of Result in the line of code:
// union NV7pbUsq;",Useful
do WD = 2;,"// Definition of Variable in the line of code:
// do WD = 2;",Useful
else SWRAWKE;,"// Initialization of Value in the line of code:
// else SWRAWKE;",Useful
auto DiANy1Oei;,"// Definition of Parameter in the line of code:
// auto DiANy1Oei;",Useful
else lg;, // yFDeEHpA XRj Fwui Tpeg83Sl mrFIf,Not Useful
int nE6CHuJ0ybA;,/* AJ */ // VPbGXi6a lk,Not Useful
signed Hd4hw = 86;,/* B */,Not Useful
sizeof g1rl__8kZ = 30;,/* SHvYMxgyi8s */,Not Useful
register oKMfNo1 = 43;,"// Explanation of Parameter in the line of code:
